500 120000
284 306 7968
30 314 3924
323 332 751
270 325 3966
143 249 6555
76 172 6323
369 446 9058
189 395 3767
461 486 2580
32 330 1413
87 300 359
18 373 3272
57 233 6167
403 469 1508
209 486 5782
119 127 4118
156 235 8866
29 147 3493
216 390 3695
89 184 6204
269 388 5902
15 160 9680
308 478 4694
114 349 9132
167 293 8534
86 223 784
17 324 2291
289 447 2972
56 414 4426
296 397 9817
42 145 4157
388 421 4446
118 172 5938
155 466 1064
28 92 3470
194 372 6170
14 27 8130
74 270 42
113 364 7862
166 246 9946
60 365 4235
353 477 5824
99 209 3149
136 421 4546
212 400 9855
288 352 6546
71 175 3223
2 466 8431
274 335 8952
41 104 7592
350 482 3577
117 285 3066
154 265 2256
193 293 8688
140 356 6893
13 242 6856
179 246 9973
112 179 1523
292 447 2417
59 412 8584
331 403 8310
338 429 113
391 437 348
250 289 4551
70 124 4691
236 268 2245
273 286 9548
40 63 1214
95 475 3889
26 254 244
192 234 1697
102 429 9868
139 437 9359
178 405 4171
254 376 62
37 478 687
224 315 2503
277 303 8033
44 494 3467
83 112 1327
376 486 3421
69 77 1201
235 349 508
182 356 7064
55 238 307
475 490 6831
258 396 6114
25 431 7239
334 419 6524
64 323 4911
373 455 86
456 493 8647
36 233 5712
239 482 9720
276 344 3651
22 332 4880
315 434 841
82 91 3050
135 231 1375
262 351 425
174 379 7048
68 154 6709
361 400 1659
414 426 2942
181 421 4320
220 461 5676
24 352 7344
79 314 9690
10 287 5156
319 491 5770
49 243 6295
395 459 3665
162 434 876
201 392 4
21 125 9134
208 412 1773
261 430 9039
81 162 3147
7 190 5033
300 452 3748
120 312 8587
67 467 2145
106 375 7062
159 259 4945
129 212 6218
78 241 5710
9 430 6865
281 401 3281
48 388 1139
357 390 787
124 375 2839
34 107 2995
200 351 2415
110 198 9261
147 312 2661
20 42 7124
186 286 3134
6 13 275
66 312 5669
105 326 3859
158 216 4638
52 379 4975
91 151 6953
128 411 1259
204 398 3399
243 464 1660
280 326 4685
190 201 2299
63 69 672
266 313 1183
109 263 5543
146 275 6555
418 492 2367
132 322 2950
425 472 6650
5 220 4896
171 236 6158
247 409 8563
284 389 9237
104 153 755
51 434 3486
90 468 9748
203 223 2577
242 315 7838
189 256 9472
228 378 3102
265 496 9961
32 453 1522
87 417 8095
380 429 730
18 232 4755
94 391 9947
131 411 9855
170 447 7855
246 322 6008
29 488 7209
216 273 7595
269 313 2131
75 118 1948
188 335 4174
227 435 6054
47 132 2179
213 236 9906
86 362 7102
17 433 8458
56 297 2926
365 481 1124
448 467 244
28 215 8507
88 122 1426
307 408 7137
74 437 767
113 409 8690
166 365 505
60 224 3877
353 362 4012
406 476 4980
173 447 3991
16 262 5483
71 288 6539
2 297 8124
311 465 1627
41 213 4448
350 361 4422
387 481 6373
154 412 5392
193 434 2320
140 159 5492
13 103 715
73 196 8579
112 302 7880
59 297 4610
98 369 5453
250 436 4101
70 235 639
273 395 1097
40 426 3930
349 416 8245
116 349 1499
153 205 2907
192 357 6693
102 216 594
139 302 4850
12 48 5861
178 264 7145
254 487 6829
58 338 4271
330 479 8768
97 440 7018
150 162 4280
44 353 9559
337 489 7781
83 253 3815
196 420 7729
235 470 2318
272 348 8166
182 243 3935
55 99 6988
258 259 6296
25 52 2698
101 481 2934
138 381 7327
410 454 1513
177 465 7694
417 418 1255
36 412 7724
239 375 5381
276 483 8785
96 239 8561
43 424 3897
315 335 9399
82 462 3066
195 245 7731
234 277 6900
181 298 2775
220 320 987
257 458 5683
24 491 8012
79 399 8271
372 443 8328
10 130 3531
176 230 1392
379 481 5646
125 221 4256
275 282 5915
21 258 7817
314 380 3518
208 279 1365
261 275 9548
300 319 9422
120 451 9709
67 92 1823
360 466 5238
180 357 4849
219 393 4185
459 486 1386
39 226 3226
205 246 2773
78 380 9390
9 347 2970
48 319 4972
200 458 3862
147 197 2228
20 189 1801
440 441 1287
223 470 118
80 96 9591
260 364 7789
6 376 3660
299 398 3441
66 399 3764
105 435 4530
158 327 9793
52 206 5495
345 380 2020
218 242 744
128 278 606
8 364 7487
280 465 3841
63 462 7978
303 447 6704
160 167 2319
33 175 9118
123 179 9877
109 124 6920
146 390 2021
19 108 3158
185 340 8333
132 181 953
5 65 917
65 254 6668
104 260 594
51 319 9269
90 347 4590
143 471 3137
242 430 3562
62 157 2463
265 381 2607
32 80 7532
341 458 9069
108 331 3142
145 215 815
18 95 8147
184 267 2254
94 242 8051
131 260 1234
4 30 9468
170 290 7373
246 473 5990
50 332 4852
322 489 4451
89 402 9001
329 387 5416
75 227 8901
421 499 7622
188 450 5668
61 76 7856
227 316 6938
264 306 7505
86 481 1421
17 46 9836
93 475 2792
402 480 1337
155 184 5367
28 426 6424
231 365 3068
88 197 5479
35 478 9542
307 357 8605
187 267 8421
60 123 3538
226 367 3860
173 308 5845
46 194 9100
16 497 1426
71 405 6503
364 417 5214
2 188 8752
168 204 8088
117 247 3959
230 318 9098
13 284 4473
306 358 145
73 113 1573
112 473 6670
59 162 7719
352 424 2975
151 370 2142
211 479 225
451 460 649
31 200 2397
70 358 8435
1 365 8401
40 277 7090
192 496 5607
139 219 26
12 171 4002
215 428 6091
72 134 1522
291 484 636
58 473 2687
97 309 4335
150 313 8402
44 212 678
337 358 1074
390 488 7632
210 236 9526
272 471 909
55 500 2234
348 354 8327
295 421 3801
115 153 7519
25 129 3312
101 150 4780
138 480 7010
11 114 3376
177 334 9518
57 272 2306
239 248 2727
96 378 1992
149 224 1486
43 293 942
135 461 8207
234 408 1688
54 167 9989
241 492 4607
257 327 8445
24 118 3032
333 468 1890
100 289 6450
137 313 4636
176 273 4259
416 480 6402
162 220 2911
238 435 2296
111 163 6381
275 423 3643
42 358 6777
314 387 8342
81 404 6204
321 421 8261
67 201 2603
413 461 1248
180 488 7353
53 102 1874
219 258 7222
256 264 9595
78 459 5983
9 192 1086
85 437 5678
378 417 3160
124 157 6454
161 397 7691
401 414 1029
20 448 503
313 314 2881
223 347 8500
80 219 9065
260 471 5134
27 484 1797
299 379 7358
52 81 7477
218 377 2276
165 350 6703
38 164 1612
8 407 9888
317 371 7727
63 371 8673
356 463 3844
363 477 8270
109 241 770
19 249 6117
222 272 9415
259 294 1106
5 310 5425
298 320 4839
65 75 5829
104 399 1679
51 136 3858
344 446 3348
127 413 8112
143 344 2782
436 470 8176
203 453 8253
23 310 2792
62 264 5476
249 263 5864
122 255 9544
32 235 2901
341 351 9050
184 406 5309
94 121 5329
4 129 7583
207 442 5197
64 188 4873
283 474 1669
50 451 9571
89 287 3815
142 275 9520
61 193 397
248 440 4064
264 445 4026
47 402 8384
340 392 9484
287 387 617
144 147 4687
17 155 6566
107 143 317
93 336 1971
130 474 4634
3 88 1375
169 352 3380
49 266 4207
88 336 5899
141 250 8527
35 331 1365
328 479 7914
74 175 7146
383 443 5421
420 439 5490
187 388 5261
226 482 8875
279 364 6281
46 73 7421
233 454 4026
16 108 882
92 287 1378
129 259 4883
2 51 6400
168 311 1537
408 454 2073
154 246 5343
230 437 6
267 445 4244
103 185 3887
34 384 4709
306 413 2447
186 199 2709
59 63 1542
225 299 2367
211 360 8441
70 477 9264
1 250 3108
77 431 3876
370 443 5438
386 436 8658
116 171 2779
153 423 4308
229 372 261
12 478 1434
215 289 1609
367 474 1293
150 436 5755
44 79 7817
210 355 3323
157 360 3145
30 142 5794
309 349 8583
55 329 1089
11 239 7465
447 483 1364
214 490 3744
87 88 7521
253 432 5735
290 442 9727
57 413 182
149 373 4157
43 158 7525
336 420 5641
389 422 8201
119 427 3214
135 326 9290
428 460 9368
195 491 9743
15 284 6315
54 306 9969
241 281 7135
294 493 93
24 193 8681
137 422 9090
176 396 5858
199 416 1685
56 210 3813
111 308 7232
42 493 7622
351 357 7231
81 257 5666
134 277 3747
473 495 2847
53 235 3718
240 430 8602
256 387 4051
39 392 5567
332 406 6677
99 357 6291
136 249 2942
191 349 3491
85 314 3795
161 282 7454
41 316 9131
313 455 5718
80 342 3155
133 212 806
27 369 264
320 485 8882
66 153 2678
375 385 3982
179 426 8291
218 460 8292
271 378 597
165 195 7098
38 83 6370
393 456 1364
123 345 4693
160 461 4950
400 476 7899
146 240 2056
19 386 1267
222 415 6875
259 403 3329
95 151 8976
26 426 6133
298 439 308
65 448 707
217 317 7182
127 262 3047
164 284 4563
37 106 9856
203 382 1492
23 459 6974
62 439 5970
355 395 9690
122 386 6353
175 252 2961
69 409 5957
362 405 2613
108 177 9834
145 441 4975
221 334 9717
4 500 3580
207 271 385
283 343 6127
50 118 5744
359 448 691
126 469 166
142 414 4019
202 397 7343
22 240 7325
188 232 1497
61 342 6725
248 323 6237
301 327 3526
47 295 296
3 197 3998
439 473 2175
79 118 6694
245 410 7339
282 404 4294
49 391 2256
88 475 5651
141 367 3699
35 244 6427
328 330 714
201 220 2432
7 266 3713
279 481 9220
46 468 410
233 307 9777
106 195 7505
286 455 4562
16 231 2092
325 355 6322
92 402 1460
129 408 3629
168 418 5504
48 200 8436
103 306 7386
34 279 3780
73 363 6938
225 416 6556
465 497 5621
45 245 5432
232 388 9476
31 422 7271
324 444 7314
128 207 1655
183 363 2421
77 292 8761
153 300 5054
33 326 6323
305 473 826
72 444 6386
312 395 5033
58 243 2814
404 475 7456
171 432 6358
210 470 2926
263 352 6066
157 253 3745
30 117 7199
76 499 4469
369 383 8218
385 498 8339
115 367 3338
152 483 2556
138 154 3853
11 408 6964
214 353 7524
87 237 6352
18 436 5166
290 305 1710
209 295 2617
119 316 5342
156 298 432
29 84 3144
195 340 8584
488 490 9781
15 481 3322
54 393 5393
347 433 5010
114 412 3527
167 234 8978
354 495 8390
100 223 1361
252 498 1700
199 277 103
56 93 4673
111 441 2117
42 80 9934
351 494 7913
118 495 4945
134 384 4943
194 439 6066
434 486 2135
14 218 4883
180 198 3905
53 368 935
240 345 659
39 317 2828
99 494 2635
191 454 8726
431 439 5201
198 486 6888
71 108 4413
237 388 2051
274 398 7407
41 425 1966
133 345 2121
27 202 5341
320 368 5422
193 230 6865
255 352 6444
271 463 1759
38 462 755
331 336 512
98 189 6601
151 165 8663
8 141 8552
278 441 222
84 376 1232
377 498 6109
476 482 4507
40 254 4555
95 280 3316
26 305 1151
65 349 7964
374 449 7929
127 139 7305
37 159 1168
23 92 7627
316 458 1242
83 305 6829
122 265 6388
175 257 8757
69 270 8758
145 310 5359
221 451 3570
25 360 5843
297 499 1297
64 386 3232
304 401 3714
50 237 1657
396 449 5964
126 320 8776
163 470 5234
36 40 4534
202 304 5078
61 491 3309
121 320 8048
174 186 3478
68 473 1089
107 373 9995
384 392 8067
130 164 4560
3 334 9277
206 331 4435
79 251 4770
10 478 3795
282 283 7922
49 60 889
125 265 6907
141 484 1345
35 97 6865
148 320 2028
441 442 4677
21 190 3098
46 355 8653
339 471 8331
106 438 4505
159 192 7283
92 229 6211
205 258 9666
244 472 1029
281 338 6504
48 67 7221
103 423 485
34 170 7348
343 404 4476
110 385 6388
186 465 2417
426 448 9297
6 204 1832
172 220 3285
45 362 8291
232 271 3053
31 299 3841
91 468 103
77 89 507
423 429 3276
190 392 6479
63 154 1082
33 467 7212
72 295 8279
247 350 5404
263 469 4957
30 480 5054
323 374 6306
90 151 3614
270 403 6404
76 358 2040
369 500 4679
152 366 9477
461 476 5981
32 260 6183
214 252 3244
87 358 9617
18 299 5796
57 183 9168
366 427 5696
403 415 9360
209 412 5050
119 177 4141
156 189 9857
29 169 5071
216 464 787
15 106 1679
308 480 9932
75 311 3768
114 275 4662
167 287 385
407 492 8499
227 240 6017
137 216 5779
213 429 1776
86 149 5311
17 370 607
56 488 37
296 439 386
42 199 1568
388 495 8947
118 378 4051
155 492 5815
194 266 6396
14 33 1757
53 453 4627
113 346 2735
166 172 6217
60 423 8463
353 427 4044
99 155 7699
136 495 3237
212 346 5344
251 308 7133
288 314 6295
198 349 69
71 225 3733
2 488 8111
117 291 5615
133 462 2642
27 71 6008
193 371 4631
140 350 6233
13 168 8199
255 405 2824
292 353 4180
38 325 8749
331 461 7426
278 308 5349
338 483 7720
430 499 607
197 300 7709
236 454 2810
273 340 8914
40 105 2354
95 397 343
26 132 9908
335 434 1306
102 411 296
411 450 4551
178 459 612
254 294 7936
37 260 9170
224 373 1768
97 249 4566
23 209 7370
316 349 612
83 442 6888
376 432 7992
175 394 2572
69 115 9142
182 434 1957
55 160 4300
258 450 5357
334 361 5940
64 285 9693
36 211 9603
456 471 8974
239 436 7871
22 410 300
315 396 5037
262 405 4488
82 145 1660
135 153 7122
121 461 3552
174 321 6704
68 332 2301
361 478 9882
144 372 3803
24 298 8213
206 214 5379
10 325 7420
319 477 4302
49 169 2459
358 445 7764
125 414 7680
162 392 7592
148 203 202
21 67 8782
208 470 6713
7 112 7919
120 258 9873
67 285 4251
106 317 207
159 309 130
219 246 4902
129 226 7012
205 439 2699
78 191 683
9 404 4661
281 479 1316
124 329 5344
200 265 4951
110 268 2302
147 258 3970
20 124 6062
186 356 1751
6 59 3566
45 479 1104
232 250 9230
285 400 6759
105 140 5854
52 397 3288
345 445 1372
91 161 9948
128 469 3464
204 320 6411
243 282 9661
190 311 2781
266 367 9707
33 104 8137
342 466 5605
109 317 2199
185 405 6368
132 372 5852
5 130 8353
247 467 8415
284 351 3564
30 367 7166
323 483 2486
189 470 5133
62 92 7838
228 428 2306
265 446 2212
32 415 54
18 158 1826
327 424 8893
184 202 4785
94 461 8672
170 485 5261
246 280 1056
29 318 3344
89 211 3932
269 495 3661
15 255 6015
308 363 5089
75 416 7942
368 438 8697
167 400 3851
47 206 9992
86 288 6126
17 495 9905
326 371 8231
56 371 3407
118 241 6991
28 233 6629
448 493 9351
231 434 972
14 428 5898
307 418 8149
74 379 6100
113 471 1665
166 347 297
136 282 2580
445 496 143
212 493 9617
16 304 845
288 437 8419
71 346 778
2 383 595
311 491 7180
41 131 2475
350 407 6783
387 427 3566
117 424 5385
154 418 4988
193 456 8247
140 209 9195
13 93 4844
112 280 6989
59 483 748
98 327 4277
151 435 1221
338 342 5292
391 480 1284
250 378 606
197 401 8371
70 161 8949
1 430 937
273 449 6719
40 468 8776
116 359 7108
192 319 9721
102 278 9554
139 280 9211
12 106 5012
178 382 3307
254 429 5120
37 393 790
330 389 4491
97 118 5343
150 248 7454
44 411 9949
277 378 3685
83 199 6669
196 366 9762
235 256 4460
272 278 7559
182 265 1398
258 345 2080
25 66 1097
334 500 62
101 471 8131
373 402 5220
177 399 258
163 204 2677
36 326 3792
239 313 1211
276 309 9061
22 273 3036
174 460 3636
414 479 9506
181 496 6231
54 102 2952
220 410 4656
257 384 8524
24 437 5100
79 465 6875
10 200 1547
319 326 905
176 208 8256
238 370 9592
21 456 1308
314 322 5052
208 321 2987
81 213 8844
261 473 432
7 229 2303
120 397 5293
300 369 1562
67 390 6167
360 412 6734
159 446 7211
39 212 2154
459 464 3231
78 266 1724
9 257 6702
48 361 41
357 497 768
124 476 2141
200 436 8013
20 135 637
223 408 7978
6 438 5049
66 325 5833
158 269 2907
128 288 4314
437 474 1996
8 342 8454
280 411 379
63 432 4502
303 385 5609
33 229 3043
109 434 3334
146 444 422
19 54 5179
185 290 717
132 255 9229
5 119 2020
104 206 1254
284 466 9100
51 457 1845
344 381 5441
90 353 3910
143 409 8478
242 356 5510
62 203 9731
249 448 7007
265 299 1775
32 42 8615
108 381 6533
18 21 9514
184 341 9790
94 312 5609
131 462 3206
4 64 5095
170 360 5841
479 486 2582
246 407 9057
322 447 6933
269 356 5125
142 210 6439
329 457 911
75 221 6374
188 276 2519
227 486 9954
264 380 1826
47 83 1822
86 447 355
17 100 5006
326 494 9707
93 401 4904
365 396 2374
402 406 4926
169 417 4044
409 466 5137
155 242 2237
28 380 4269
231 295 811
268 307 1297
14 315 447
74 494 8374
166 470 3049
60 77 1675
406 417 2446
173 490 9692
46 136 9709
16 427 9727
71 463 4477
2 242 8678
311 380 7957
168 246 9888
230 372 3632
13 466 1906
306 348 1484
73 191 7408
112 403 9435
59 380 2348
352 482 7292
151 324 5615
31 242 3423
70 284 7775
1 315 1290
40 351 2052
349 459 9076
116 490 8546
192 394 9662
102 141 7983
139 149 9712
12 157 14
215 486 117
58 303 8920
97 259 6639
150 375 4241
44 270 7464
429 452 4713
196 465 669
272 385 6993
55 398 4520
295 415 626
115 163 4386
25 207 5428
101 348 4137
138 470 2532
11 44 1186
177 260 2124
36 457 277
276 440 8234
149 182 6208
43 479 9347
336 355 9178
96 180 5409
82 379 9162
135 391 1252
234 334 704
181 325 3003
474 497 6917
54 253 7425
241 474 630
257 285 5594
100 363 9890
372 464 8814
10 127 4133
176 331 9235
379 436 9398
416 442 33
125 168 3379
275 369 5772
111 117 8239
21 349 7034
261 334 1105
134 212 6292
321 499 2764
67 243 4290
180 306 7980
219 476 7673
256 322 7593
78 401 1128
318 384 1517
357 358 6006
394 496 7142
161 475 8139
401 468 7924
20 266 1030
223 269 4383
260 281 5862
6 301 4833
299 309 4221
66 472 428
52 155 9673
165 388 9725
38 146 4481
8 449 4635
317 329 8798
63 293 7916
19 195 9860
222 350 1018
298 374 4396
65 129 6765
51 338 5036
344 456 1784
127 455 8973
143 354 2563
23 264 9341
189 224 6455
62 374 3582
249 333 9020
122 197 7118
302 449 8424
32 165 7691
341 421 3461
108 496 7668
184 480 8303
94 167 9533
131 187 9060
424 463 9455
4 203 6468
207 460 836
50 313 6065
142 345 9062
329 374 7751
202 204 8530
421 430 5067
188 431 9258
61 151 9950
248 386 4851
47 484 3521
107 185 4961
287 437 4612
17 209 6891
130 272 350
169 302 5153
88 154 5144
141 176 9794
35 437 6250
328 393 6342
268 422 6989
74 149 7269
383 493 928
187 350 3377
226 312 9124
279 294 1640
173 351 5429
466 491 2713
212 251 6856
16 38 1363
92 337 3875
364 462 4621
2 73 799
168 353 9784
117 130 7483
154 188 8630
230 483 1951
103 115 2929
267 375 4798
13 327 3610
306 467 6298
405 493 3074
172 296 8340
45 54 8971
211 434 3513
31 103 5757
70 395 3223
1 176 7800
310 442 7891
77 485 9802
386 458 8492
116 125 4493
153 493 160
229 314 3587
12 272 5660
215 379 5763
72 251 2940
291 347 5202
58 434 6507
367 428 4884
150 386 2019
44 129 4632
390 413 7884
157 446 4497
30 180 8399
309 355 9538
55 259 5594
447 469 9815
11 217 1481
214 416 3839
253 390 5791
57 363 5470
96 463 3301
149 315 8455
43 328 9103
336 478 3076
135 376 2414
15 294 2043
181 202 755
54 328 8926
241 343 6116
114 223 6450
24 139 9992
333 447 5738
100 414 9961
137 364 2806
176 454 6668
199 474 3790
111 254 9822
42 275 9996
81 319 9853
134 323 6038
321 328 724
194 246 2000
180 389 1694
53 177 9921
240 408 2707
256 477 3726
39 450 2148
99 303 6186
9 59 5494
191 263 9456
85 256 2845
161 336 3991
470 474 89
20 413 4759
313 397 1167
223 246 7978
260 396 5082
133 154 5887
27 395 4124
80 128 4395
320 447 3527
66 175 5723
375 475 3347
179 372 2023
218 274 630
165 265 9144
204 225 3850
8 76 5885
317 478 6281
84 447 5878
356 420 307
393 438 9804
123 403 4657
160 391 4765
363 384 9347
400 406 4415
109 156 2007
146 166 6515
19 332 969
222 453 1586
259 349 674
5 353 7524
51 223 5655
127 328 199
164 454 3559
37 80 4327
203 424 9780
23 413 9434
355 373 2736
302 332 1648
175 198 1075
69 463 5138
221 260 5649
4 318 3280
207 337 1891
64 193 9773
246 249 9558
283 353 8092
50 428 7840
359 442 2299
126 387 8662
142 420 1671
22 206 5163
442 450 5454
61 300 2006
248 269 3949
301 381 6442
47 361 2906
340 485 9197
287 318 1035
93 251 25
3 143 7528
206 394 6529
245 416 5081
49 381 2099
88 485 6130
141 293 1726
35 318 4880
420 492 8437
187 491 9261
7 316 4861
279 443 3584
173 212 4563
46 418 2417
233 377 8793
106 137 6763
286 397 7407
16 145 3307
325 425 7174
92 420 79
129 342 3368
168 492 8673
267 480 3573
103 228 8697
34 493 4240
73 337 4704
172 419 63
45 171 8515
211 319 4138
31 488 8976
91 277 454
1 13 8100
183 317 2461
77 282 7189
370 484 4631
116 192 4238
153 378 1799
462 492 3262
229 431 4001
12 395 2248
305 407 9782
72 102 6643
312 469 4423
171 362 4042
210 268 581
263 282 2297
157 307 5241
30 35 2601
196 207 2363
309 488 6322
348 386 6303
385 392 665
115 441 3724
152 429 5040
228 248 5968
101 118 6830
138 192 5446
11 338 6602
214 319 432
253 283 9443
57 496 4015
149 448 9985
43 197 7446
389 465 7943
209 221 5774
119 374 4070
29 106 4681
195 414 4674
15 427 3473
54 455 8274
167 220 9335
213 366 2315
252 452 5046
199 335 8146
56 167 1455
111 387 1962
42 390 8212
351 400 7838
134 446 5332
434 476 6334
14 224 3179
53 262 2026
240 275 6159
39 375 4743
332 451 25
99 472 3712
136 174 597
191 392 9070
85 149 809
198 412 1768
237 442 8695
41 343 1877
133 271 4956
27 260 6104
412 474 6237
179 449 8850
218 409 1278
271 401 6122
165 190 302
38 388 4286
98 243 5569
8 247 4950
84 322 5466
123 300 9840
19 473 404
95 194 9691
259 454 6857
26 455 4769
335 371 6380
65 363 6756
374 415 8731
217 336 8702
164 329 4579
37 197 3096
203 293 228
83 379 757
122 479 9477
175 331 9
69 308 5015
362 462 5947
108 222 3787
145 364 5987
221 409 4022
4 417 3740
297 441 4533
207 218 2389
64 92 7425
304 459 6890
126 270 5310
163 256 1026
202 486 387
22 69 4388
61 417 6490
121 142 5450
301 498 4324
68 387 5272
340 360 8160
107 431 9401
144 435 4674
384 450 4865
93 112 2395
130 250 4847
3 376 6388
206 273 4962
245 309 980
282 289 1145
49 490 2005
125 351 1823
141 474 2373
35 171 7551
148 394 6487
480 490 3625
7 433 5762
46 297 9220
106 124 7836
286 376 5186
205 376 2327
477 499 8228
244 482 2053
48 189 3666
103 409 8297
34 352 7120
343 494 8390
110 463 9698
6 250 5116
45 288 6008
232 313 457
31 349 885
324 489 5409
91 494 8930
128 148 6968
183 438 6576
77 143 3230
423 487 4969
33 297 5588
72 273 611
312 352 289
185 214 9682
404 432 3634
171 487 7851
210 387 4829
263 399 7734
30 430 3277
90 221 8371
270 473 6004
76 344 5977
115 258 1738
152 312 8780
11 463 3045
87 184 8045
18 481 5868
327 361 347
57 125 2387
366 497 3693
209 330 869
119 203 171
156 375 9067
29 255 917
195 267 8840
15 60 571
75 353 8323
347 452 1288
114 457 4781
167 337 4444
354 440 6030
407 422 9022
100 180 9136
213 499 7258
86 99 8081
252 351 6181
289 451 3762
118 304 9615
155 294 2849
28 40 8733
194 448 5684
14 111 4207
53 395 8983
293 412 8087
113 144 5630
332 374 4382
136 473 1428
212 300 500
251 270 8942
198 267 4583
237 303 177
274 315 9464
41 476 3001
117 361 5093
133 500 8858
27 145 5456
140 400 7381
13 158 4434
255 479 5509
292 299 548
38 307 138
151 240 3457
84 213 6479
430 441 4601
197 338 452
40 147 382
95 439 7874
26 330 574
335 452 9646
102 465 5856
217 477 4678
164 252 66
37 330 8197
224 335 8309
277 443 4924
97 183 4302
23 171 2524
316 407 6927
83 388 5660
376 378 1481
175 476 39
69 185 735
415 461 3870
182 456 1845
25 259 8491
64 471 1731
304 326 7624
177 200 3949
396 430 4123
126 181 878
163 397 2064
36 133 2020
202 365 7121
22 464 7702
262 451 9267
82 199 4116
121 283 9454
174 271 4637
68 374 6231
107 280 2308
144 302 49
3 485 4323
79 150 9466
10 395 1203
319 391 7047
49 103 4855
358 491 317
125 468 7326
162 350 5841
201 316 3576
148 285 4738
187 241 1720
7 42 3840
120 204 3615
67 327 7147
339 426 669
106 483 4721
346 402 8336
92 178 814
129 184 6677
205 493 9154
244 373 6316
281 485 7103
124 259 5503
34 247 7742
200 243 7432
110 346 3342
147 460 9339
20 70 804
186 426 3048
6 113 644
45 405 8654
285 422 1915
105 186 7164
52 471 6130
324 348 8770
91 123 7824
128 495 9475
204 314 4719
243 292 4425
190 381 9401
63 241 7696
266 341 1162
33 422 1116
342 424 5385
109 371 9039
381 398 1702
132 446 9302
464 486 3375
247 485 8816
30 277 2765
270 292 2403
143 222 7089
76 211 1855
189 428 7273
228 406 8621
32 361 7886
87 461 8755
18 340 1795
366 380 6968
403 498 9533
209 455 2583
156 202 2064
29 372 7655
216 357 4585
269 421 7726
89 153 925
15 129 3711
308 445 3257
75 410 8084
114 380 4807
167 458 8967
86 254 2505
17 293 5199
56 445 4080
169 226 5787
118 143 2214
28 163 797
194 343 119
74 289 9262
113 269 3029
166 273 638
60 268 8732
99 206 4516
136 324 625
445 454 2603
212 439 510
251 411 5367
288 399 1685
71 140 1000
2 437 3258
311 445 9166
41 73 4884
350 477 12
154 360 6407
193 262 1991
140 267 971
13 19 3905
179 215 6733
112 210 1099
292 478 1974
59 445 1326
331 432 8807
98 413 7355
151 389 6280
338 396 2535
211 230 3016
391 410 3354
84 88 584
250 320 9097
197 455 2625
70 95 8643
236 371 247
116 297 2232
26 209 2007
192 201 2526
102 332 8999
139 466 5107
12 92 6283
254 411 1977
330 331 5946
277 320 8940
44 461 7662
196 272 1849
468 477 758
235 314 9132
182 327 4973
55 207 3509
25 392 1887
334 386 225
101 413 5933
373 472 7178
36 264 6693
239 259 9465
96 115 2146
276 383 1864
22 367 8571
315 467 7517
262 318 5403
135 196 7370
121 416 2547
68 249 4544
181 390 2304
220 428 4480
24 383 7510
79 283 4912
10 318 73
395 488 7246
162 469 4100
201 425 6636
148 160 1612
21 414 2835
208 379 3803
81 131 4276
261 399 3144
7 159 9537
300 427 2934
120 343 6502
67 432 4589
106 342 4439
159 480 2838
78 208 4235
9 463 7030
318 323 7486
48 419 1532
357 423 6969
124 406 4038
200 382 6502
110 225 3973
147 345 5700
440 461 1934
20 201 3052
186 305 8252
6 492 3712
66 283 2150
105 295 62
158 315 5287
52 346 425
345 464 2013
91 244 3588
128 378 9825
437 480 1918
204 429 8831
243 433 8091
280 421 8019
190 232 8546
63 122 6120
303 459 8502
123 199 6799
33 51 6415
109 488 320
146 370 3048
185 488 8297
5 61 4033
171 205 6228
284 484 9584
104 248 8445
51 403 8919
323 406 4436
90 439 6976
143 419 9497
203 252 8586
242 346 3299
189 289 2373
228 281 8167
32 484 7053
108 311 8126
380 460 1933
18 203 5226
94 358 8810
170 414 6701
246 429 3025
29 457 9431
322 373 7837
269 346 5967
89 102 6968
188 366 4372
227 464 6646
47 165 9622
86 373 5006
17 402 7049
326 420 5695
93 423 696
365 450 4953
28 310 7685
231 281 7172
88 89 5693
268 357 7416
14 321 6121
74 468 4768
113 442 4759
166 396 6766
60 135 259
226 251 3981
173 416 9358
16 357 5987
71 257 7806
2 264 469
387 478 248
193 403 5516
140 190 9681
13 392 4746
73 229 1232
112 333 9657
59 310 4296
151 286 9171
250 471 8222
70 202 9599
1 497 8918
310 357 416
349 385 5970
116 444 563
153 174 2630
192 324 5840
102 251 9541
139 335 7942
432 467 2761
12 215 2708
178 299 4372
58 373 1190
97 473 241
150 333 4330
44 320 8538
337 458 5053
83 154 7176
196 411 2677
235 439 542
272 443 6342
182 210 6371
55 64 1242
115 237 8439
295 465 2034
101 258 7997
138 284 1218
410 473 6614
177 498 7388
36 435 3927
276 386 934
96 142 1791
43 393 1800
315 364 8476
82 433 1991
135 441 9352
195 210 1463
68 108 7465
234 372 1489
181 267 2864
220 295 2093
257 299 6433
24 458 9991
100 349 4427
372 410 1967
10 165 500
379 398 4107
125 254 1097
238 455 6165
275 315 8502
21 291 4610
208 246 6618
261 372 2634
81 120 5388
120 482 7792
180 324 5304
452 481 8662
219 406 3383
39 131 3323
78 351 4560
9 372 4209
318 462 5859
85 449 3663
200 489 4982
147 226 6527
20 348 4113
223 311 5041
6 347 9403
299 495 1870
66 494 8449
105 428 7681
158 422 9546
52 173 4006
345 349 9778
398 465 9318
165 458 4137
8 267 1190
63 495 5056
356 379 876
303 348 1186
160 198 383
